TS : 6261603, TJ : 3523718
TS : 7428972, TJ : 2692283
TS : 10009045, TJ : 8848275
TS : 5388691, TJ : 2193567
TS : 6848137, TJ : 5041153
TS : 7202410, TJ : 4336118
TS : 3828201, TJ : 1594122
TS : 8710665, TJ : 7698919
TS : 4223484, TJ : 4138555
TS : 5064926, TJ : 4982473
TS : 7141185, TJ : 7057786
TS : 10023786, TJ : 9935770
TS : 11810618, TJ : 11633423
TS : 1849310, TJ : 1753705
TS : 4454316, TJ : 4372642
TS : 3752775, TJ : 3674657
TS : 6719087, TJ : 6626021
TS : 8266670, TJ : 8073649
TS : 1045390, TJ : 953141
TS : 4255218, TJ : 4161565
TS : 14480524, TJ : 14312358
TS : 1026772, TJ : 936357
TS : 25414637, TJ : 25319580
TS : 1338934, TJ : 1244981
TS : 1374797, TJ : 1259052
TS : 1747281, TJ : 1643898
TS : 2454824, TJ : 2374028
TS : 48133162, TJ : 47968839
TS : 1177522, TJ : 1040380
TS : 960020, TJ : 865654
TS : 3424156, TJ : 3330726
TS : 5207100, TJ : 5096177
TS : 1044512, TJ : 950792
TS : 1351784, TJ : 1214622
TS : 1153388, TJ : 1065119
TS : 1479258, TJ : 1398312
TS : 2732374, TJ : 2617559
TS : 1067132, TJ : 978503
TS : 1848799, TJ : 1694476
TS : 1274837, TJ : 1183314
TS : 3690756, TJ : 3588328
TS : 5404168, TJ : 5275331
TS : 1046026, TJ : 950586
TS : 1469887, TJ : 1329148
TS : 1028798, TJ : 935149
TS : 1219411, TJ : 1136394
TS : 2875592, TJ : 2781806
TS : 1111178, TJ : 1024970
TS : 1238219, TJ : 1124376
TS : 999847, TJ : 910614
TS : 3848341, TJ : 3756861
TS : 5406831, TJ : 5312094
TS : 1132784, TJ : 1038041
TS : 1526922, TJ : 1380115
TS : 962990, TJ : 869571
TS : 969309, TJ : 874871
TS : 2514819, TJ : 2425660
TS : 1102237, TJ : 1015286
TS : 1375579, TJ : 1241144
TS : 929871, TJ : 838268
TS : 1058168, TJ : 972802
TS : 5131171, TJ : 5030959
TS : 962020, TJ : 864861
TS : 3843671, TJ : 3721136
TS : 1606437, TJ : 1486904
TS : 2430872, TJ : 2356095
TS : 6005096, TJ : 5921940
TS : 7170000, TJ : 7046351
TS : 1111004, TJ : 1001613
TS : 2862678, TJ : 2776611
TS : 11673617, TJ : 11574939
TS : 13167380, TJ : 13068223
TS : 3646884, TJ : 1433155
TS : 51950424, TJ : 51880421
TS : 2107101, TJ : 1196369
TS : 1960314, TJ : 1074270
TS : 6769003, TJ : 5951747
TS : 2620538, TJ : 1136213
TS : 4364458, TJ : 3471962
TS : 2041441, TJ : 1214738
TS : 6340625, TJ : 3635492
TS : 7209124, TJ : 5908488
TS : 2017098, TJ : 1151874
TS : 4440031, TJ : 3563620
TS : 3958190, TJ : 2882840
TS : 4081677, TJ : 1834758
TS : 2182981, TJ : 1288986
TS : 4682578, TJ : 3825673
TS : 5612316, TJ : 4663093
TS : 2284961, TJ : 1421064
TS : 6946121, TJ : 6043506
TS : 3950323, TJ : 3205856
TS : 1111413, TJ : 1012798
TS : 40358968, TJ : 39545795
TS : 1267444, TJ : 1174798
TS : 3002323, TJ : 2891488
TS : 3371793, TJ : 3275557
TS : 1041989, TJ : 952638
